gE/AAgAw/zkT;AA Bezirk;Organisationseinheit / Empfänger;Anschrift;PLZ;Ort
Regionaldirektion Bayern;;;Regensburger Straße 100;90478;Nürnberg
Jobcenter Landkreis Ansbach;Ansbach;;Crailsheim Str. 1;91522;Ansbach
Jobcenter Stadt Ansbach;Ansbach;;Schalkhäuser Str. 40;91522;Ansbach
Jobcenter Landkreis Neustadt/Aisch;Ansbach;;Bamberger Str. 27;91401;Neustadt/Aisch
ARGE Landkreis Neustadt/Aisch/Bad Windsheim;Ansbach;;Ostring 13;91427;Bad Windsheim
Jobcenter Landkreis Aschaffenburg;Aschaffenburg;;Goldbacher Str. 25-27;63739;Aschaffenburg
Jobcenter Stadt Aschaffenburg;Aschaffenburg;;Goldbacher Str. 25-27;63739;Aschaffenburg
Jobcenter Landkreis Miltenberg;Aschaffenburg;;Bauschenweg 6;63897;Miltenberg
Jobcenter Augsburger Land;Augsburg;;Hermanstr. 11;86150;Augsburg
Jobcenter Augsburger Land;Augsburg;;Zweigstelle Fuggerstr. 10;86830;Schwabmünchen
Jobcenter Wittelsbacher Land;Augsburg;;Hauptstraße 2;86551;Aichach
Jobcenter für Beschäftigung Augsburg-Stadt;Augsburg Region NORD-WEST;;Wertachstr. 28;86153;Augsburg
Jobcenter für Beschäftigung Augsburg-Stadt;Augsburg Region SÜD;;Gögginger Str. 150a;86199;Augsburg
Jobcenter für Beschäftigung Augsburg-Stadt;Region OST;;Zugspitzstr. 179;86165;Augsburg
Jobcenter für Beschäftigung Augsburg-Stadt;Region Mitte;;Wertachstr. 28;86153;Augsburg
Jobcenter Landkreis Bamberg;Bamberg;;Mannlehenweg 27;96050;Bamberg
Jobcenter Stadt Bamberg;Bamberg;;Mannlehenweg 27;96050;Bamberg
Jobcenter Forchheim;Bamberg;;Äußere Nürnberger Str.1;91301;Forchheim
Jobcenter Bayreuth Land;Bayreuth;;Casselmannstr. 6;95444;Bayreuth
Jobcenter Bayreuth Stadt ;Bayreuth;;Spinnereistr. 6/8;95445;Bayreuth
Jobcenter Kulmbach;Bayreuth;;Fritz-Hornschuch-Str. 9;95326;Kulmbach
Jobcenter Coburg Land;Coburg;;Raststr. 20;96450;Coburg
Jobcenter Coburg Stadt;Coburg;;Hinterer Floßanger 10;96450;Coburg
Jobcenter Landkreis Kronach;Coburg;;Langer Steig 10;96317;Kronach
Jobcenter Landkreis Lichtenfels;Coburg;;Conrad-Wagner Str.3;96215;Lichtenfels
Jobcenter Deggendorf;Deggendorf;;Hindenburgstr. 32;94469;Deggendorf
Jobcenter Landkreis Regen;Deggendorf;;"Daimingerstr. 4 -Z  
Linprunstr. 13";94227                       94234;Zwiesel            Viechtach
Jobcenter Straubing- Bogen;Deggendorf;;Wittelsbacherhöhe 14;94315;Straubing
Jobcenter Dillingen a.d. Donau;Donauwörth;;Rosenstr. 4;89407;Dillingen
Jobcenter Donau-Ries;Donauwörth;;Zirgelsheimer Str.9;86609;Donauwörth
Jobcenter Donau-Ries ;Donauwörth;;Herrengasse 39;86720;Nördlingen
Jobcenter Erding;Freising;;Otto-Hahn-Str. 21;85435;Erding
Jobcenter Freising;Freising;;Landshuter Str. 31;85356;Freising
Jobcenter Hofer Land;Hof;;Außere Bayreuther Str. 2;95032;Hof
Jobcenter Hof Stadt;Hof;;Äußere Bayreuther Str. 2;95032;Hof
Jobcenter Wunsiedel i.Fichtelgebirge ;Hof;;Oskar-Loew-Str. 9;95615;Marktredwitz
Jobcenter Eichstätt;Ingolstadt;;Weißenburger Str. 17;85072;Eichstätt     
Jobcenter Ingolstadt;Ingolstadt;;Adolf-Kolping-Str 10;85049;Ingolstadt
Jobcenter Landkreis Neuburg-Schrobenhausen;Ingolstadt;;Holzgartenstr. 74;86633;Neuburg a. d. Donau
