gE/AAgAw/zkT;AA Bezirk;Organisationseinheit / Empfänger;Anschrift;PLZ;Ort
"Regionaldirektion 
Niedersachsen-Bremen";;;Altenbekener Damm 82;30173;Hannover
Jobcenter Braunschweig;Braunschweig;;Willy-Brandt-Platz 7;38102;Braunschweig
Jobcenter Salzgitter;Braunschweig;;Lichterberger Str. 2A;38226;Salzgitter
Jobcenter Wolfenbüttel;Braunschweig;;Goslarsche Str. 33;38304;Wolfenbüttel 
Jobcenter Bremen;Bremen;;Doventorsteinweg 48-52;28195;Bremen
Jobcenter Bremerhaven;Bremerhaven;;Grimsbystr. 1;27570;Bremerhaven
Jobcenter Cuxhaven;Stade;;Konrad-Adenauer-Allee 1;27472;Cuxhaven       
Jobcenter im Landkreis Celle ;Celle;;Georg-Wilhelm-Str. 14;29223;Celle
Jobcenter Aurich;Emden;;Fischteichweg 7-13;26603;Aurich
Jobcenter Emden;Emden;;Schlesierstr. . 10-12;28723;Emden
Jobcenter Wittmund;Emden;;Osterstr. 2;26409;Wittmund
Jobcenter Goslar;Goslar;;Robert-Koch-Str. 11;38642;Goslar
Jobcenter;Göttingen;;Reinhäuser Landstr. 4;37083;Göttingen
Jobcenter Landkreis Northeim;Göttingen;;Scharnhorstplatz 14;37154;Northeim
Jobcenter  Hameln-Pyrmont;Hameln;;Süntelstr.5;31785;Hameln
Jobcenter Holzminden;Hameln;;Steinbreite 12;37603;Holzminden
Jobcenter Schaumburg;Hameln;;Breslauerstr. 2-4;31655;Stadthagen
Jobcenter Region Hannover;Hannover;;Vahrenwalder Str. 245;30159;Hannover
Jobcenter Gifhorn ;Helmstedt;;Ribbesbütteler Weg 2;38518;Gifhorm
Jobcenter Helmstedt;Helmstedt;;Magdeburger Tor 18;38350;Helmstedt
Jobcenter Wolfsburg;Helmstedt;;Porschestr. 2;38440;Wolfsburg 
Jobcenter Hildesheim;Hildesheim;;Am Marienfriedhof 3;31134;Hildesheim
Emsland Landkreis;Leer;;Ordeniederung 1;49716;Meppen
Leer Landkreis;Leer;;Bergmannstr. 37;26789;Leer
Jobcenter Landkreis Harburg;Lüneburg;;Bahnhofstr. 13;21423;Winsen (Luhe)
Jobcenter Landkreis Lüneburg;Lüneburg;;Horst-Nickel-Str.4;21335;Lüneburg
Arbeitsmarktservice im Landkreis Diepholz;Verden;;Amtshof 3;28857;Syke
Jobcenter Landkreis Nienburg/Weser;Nienburg;;Verdener Str.21;31582;Nienburg
Jobcenter;Nordhorn;;Bentheimer Str. 118;48522;Nordhorn
Jobcenter;Oldenburg;;Ammerlandallee 12;26655;Westerstede
Jobcenter Delmenhorst;Oldenburg;;Am Wollelager 21;27749;Delmenhorst
Jobcenter;Oldenburg;;Delmenhorster Str. 6;27793;Wildeshausen
Jobcenter Oldenburg;Oldenburg;;Stau 70;26122;Oldenburg
Jobcenter Wesermarsch;Oldenburg;;Weserstr. 2;26919;Brake
Jobcenter;Osnabrück;;Am Schölerberg 1;49082;Osnabrück
Jobcenter Osnabrück ;Osnabrück;;Johannistorwall 56;49080;Osnabrück
Jobcenter Cuxhaven;Stade;;Konrad-Adenauer-Allee 1;27472;Cuxhaven       
Jobcenter Stade;Stade;;Wiesenstraße 10;21680;Stade
Jobcenter Lüchow-Dannenberg ;Uelzen;;Seerauerstr. 37;29439;Lüchow
Jobcenter Uelzen;Uelzen;;Lüneburger Str. 72;29525;Uelzen
Jobcenter Cloppenburg;Vechta;;Lankumer Ring 7;49661;Cloppenburg
Jobcenter im Landkreis Vechta;Vechta;;Rombergstr. 51;49377;Vechta
Jobcenter;Stade;;Hopfengarten 2;27356;Rotenburg
Jobcenter im Landkreis Diepholz;Verden;;Amtshof 3;28857;Syke
Jobcenter im Landkreis Nienburg;Verden;;Verdener Str.21;31582;Nienburg
Jobcenter;Verden;;Lindhooper Str. 6;27283;Verden
Jobcenter Friesland;Wilhelmshaven;;Sophienstr. 3;26441;Jever
Job Center Friesland-Dependance;Wilhelmshaven;;Gorch-Fock-Str. 3;26316;Varel
Jobcenter Wilhelmshaven;Wilhelmshaven;;Herderstr. 10;26382;Wilhelmshaven
