gE/AAgAw/zkT,AA Bezirk,Organisationseinheit / Empfänger,Anschrift,PLZ,Ort
Regionaldirektion Nordrhein-Westfalen,,,Josef-Gockeln-Str. 7,40474,Düsseldorf
Jobcenter StädteRegion Aachen ,Aachen ,,Steinstr. 87,52249,Eschweiler
Jobcenter Kreis Heinsberg,Aachen ,,Westpromenade 9,52525,Heinsberg
Jobcenter  Kreis Warendorf,Ahlen,,Bismarckstr. 10,59229,Ahlen
Jobcenter Leverkusen ,Bergisch-Gladbach,,Heinrich-von-Stephan-Str. 6a,51373,Leverkusen
Jobcenter Oberberg,Bergisch-Gladbach,,Fabrikstraße 4,51643,Gummersbach
Jobcenter Rhein-Berg,Bergisch-Gladbach,,Bensberger Str. 85,51465,Bergisch Gladbach
Jobcenter Arbeitsplus Bielefeld,Bielefeld,,Willy-Brandt-Platz 2,33602,Bielefeld
Jobcenter Gütersloh,Bielefeld,,Friedrich-Ebert-Str. 31,33330,Gütersloh
Jobcenter Bochum,Bochum,,Universitätsstr. 66a,44789,Bochum
Jobcenter Herne,Bochum,,Markgrafenstr. 9 Landgrafenstr. 29,44623    44652,Herne
Jobcenter Bonn,Bonn,,Rochusstr. 6,53123,Bonn
Jobcenter Rhein-Sieg ,Bonn,,Rathausallee 10,53757,Sankt Augustin
Jobcenter Rhein-Erft,Brühl,,Europaallee 33,50226,Frechen
Jobcenter Kreis Euskirchen,Brühl,,Jülicher Ring 32,53879,Euskirchen
Jobcenter,Coesfeld,,Burloer Str. 93,46325,Borken
Jobcenter,Coesfeld,,Friedrich-Ebert-Str. 7,48653,Coesfeld
Jobcenter Lippe ,Detmold,,Wittekindstr. 2,32758,Detmold
Jobcenter Dortmund,Dortmund,,Kaiserhain 1,44139,Dortmund
Jobcenter Dortmund,Dortmund,,Luisenstr. 11-13,44137,Dortmund
Jobcenter Dortmund,Dortmund,,Steinstr. 39,44147,Dortmund
Jobcenter Duisburg,Duisburg,,Wintgensstr. 29-33,47058,Duisburg
Jobcenter Düsseldorf ,Düsseldorf,,Luisenstr. 105,40215,Düsseldorf
Mettmann-aktiv,Düsseldorf,,Düsseldorfer Str. 26,40822,Mettmann
Mettmann-aktiv,Düsseldorf,,Alte Schulstr. 32-34 im Rathause,40789,Monheim/Rhein
Mettmann-aktiv,Düsseldorf,,Briedenhofer Str.7,42781,Haan
Mettmann-aktiv,Düsseldorf,,Hofstr. 56-60,40723,Hilden
Mettmann-aktiv,Düsseldorf,,Goethestr. 23,40822,Mettmann
Mettmann-aktiv,Düsseldorf,,Klinkerweg 7-9,40699,Erkrath
Mettmann-aktiv,Düsseldorf,,Bahnhofstr. 43,40764,Langenfeld
Mettmann-aktiv,Düsseldorf,,Stadionring 17,40878,Ratingen
Mettmann-aktiv,Düsseldorf,,Hauptstr. 157,42579,Heiligenhaus
Mettmann-aktiv,Düsseldorf,,Grünstr. 40-42,42551,Velbert
Mettmann-aktiv,Düsseldorf,,Rathausplatz 2,42551,Velbert
Mettmann-aktiv,Düsseldorf,,Am Rathaus 1,42489,Wülfrath
Jobcenter Essen,Essen,,Berliner Platz 10,45127,Essen
Jobcenter Bottrop,Gelsenkirchen,,Paßstr. 3,46236,Bottrop
Integrationscenter für Arbeit Gelsenkirchen- das Jobcenter,Gelsenkirchen,,Vattmannstr. 12,45879,Gelsenkirchen
Jobcenter Ennepe,Hagen,,Nordstr. 21,58332,Schwelm
Jobcenter Hagen,Hagen,,Berliner Platz 2,58089,Hagen
Jobcenter Hamm,Hagen,,Teichweg 1,59075,Hamm
Jobcenter Kreis Unna,Hamm,,Luise-Schröder-Str. 12,59192,Bergkamen
Jobcenter Kreis Unna,Hamm,,Rathausplatz 1,59174,Kamen
Jobcenter Kreis Unna,Hamm,,Am Bahnhof 7,59199,Bönen
Jobcenter Kreis Unna,Hamm,,Ruhrstr.9,58730,Frödenberg
Jobcenter Kreis Unna,Hamm,,Poststr. 4,59439,Holzwickede
Jobcenter Kreis Unna,Hamm,,Bahnhofstr. 8,59368,Werne
Jobcenter Kreis Unna,Hamm,,Ludgeristr. 123,59379,Selm
Jobcenter Kreis Unna,Hamm,,Willi-Brandt-Platz 1,44534,Lünen
Jobcenter Kreis Unna,Hamm,,Kurt-Schumacher-Str. 15,44534,Lünen
Jobcenter Kreis Unna,Hamm,,Münsterstr. 45,44532,Lünen
Jobcenter Kreis Unna,Hamm,,Hüsingstr. 2,58239,Schwerte
Jobcenter Kreis Unna,Hamm,,Bahnhofstr. 63,59423,Unna
Jobcenter Herford ,Herford,,Hansastr. 33,32049,Herford
Amt pro Arbeit Jobcenter Kreis Minden-Lübbecke,Herford,,Portastr. 13,32423,Minden
Jobcenter Märkischer Kreis ,Iserlohn,,Friedrichstr. 59-61,58636,Iserlohn
Jobcenter Köln,Köln,,Luxemburger Str.121,50939,Köln
Jobcenter Krefeld ,Krefeld,,Fütingsweg 34,47805,Krefeld
Jobcenter Kreis Viersen,Krefeld,,Am Schluff 18,41748,Viersen
Hochsauerlandkreis, Landkreis,Meschede,,Steinstr. 27,59872,Meschede
Jobcenter Mönchengladbach ,Mönchengladbach,,Limitenstraße 144-148,41236,Mönchengladbach
Jobcenter Rhein-Kreis Neuss ,Mönchengladbach,,Marienstr. 22-24,41062,Neuss
Jobcenter Mönchengladbach,Mönchengladbach,,Viktoriastr. 52,41061,Mönchengladbach
Jobcenter Münster ,Münster,,Kundenzentrum Soziales Stadthaus 2 Ludgeriplatz 4,48151,Münster
Sozialagentur Mühlheim a.d.R.,Oberhausen,,Eppinghofer Str. 50,45468,Mühlheim
Jobcenter Oberhausen,Oberhausen,,Centroallee 273-277,46047,Oberhausen
Jobcenter Kreis Höxter ,Paderborn,,Stummrigestr. 56,37671,Höxter
Jobcenter Kreis Paderborn ,Padeborn,,Rathenaustr. 30,33102,Paderborn
Jobcenter Kreis Recklinghausen ,Recklinghausen,,Görresstr.15,45657,Recklinghausen
Steinfurt, Landkreis,Rheine,,Tecklenburger Str. 10,48565,Steinfurt
Jobcenter Kreis Olpe,Siegen,,Franziskaner Str. 6,57462,Olpe
Jobcenter Kreis Siegen-Wittgenstein,Siegen,,Emilienstr.45,57072,Siegen
Jobcenter Arbeit Hellweg Aktiv ,Soest,,Paradieser Weg 2,59494,Soest
Arbeit Hellweg Aktiv Lippstadt,Soest,,Am Siek 18-22,59555,Lippstadt
Arbeit Hellweg Aktiv Warstein,Soest,,In den Kämpen 6,59581,Warstein
Arbeit Hellweg Aktiv Werl,Soest,,Alter Markt 3,59457,Werl
Arbeit Hellweg Aktiv,Soest,,Paradieser Weg 2,59494,Soest
Jobcenter Remscheid,Solingen,,Bismarckstr. 10,42853,Remscheid
Jobcenter Solingen,Solingen,,Kamper Str. 35,42699,Solingen
Jobcenter,Wesel,,Nassauer Allee 15-23,47533,Kleve
Jobcenter Kreis Wesel,Wesel,,Reeser Landstr. 61,46483,Wesel
Jobcenter Wuppertal ,Wuppertal,,Bachstr. 2,42275,Wuppertal
Jobcenter Wuppertal GST 1,Wuppertal,,Corneliusstraße 2,42329,Wuppertal
Jobcenter Wuppertal GST 2,Wuppertal,,Uellendahler Str. 70 - 72,42107,Wuppertal
Jobcenter Wuppertal GST 3,Wuppertal,,Neumarktstraße 40,42103,Wuppertal
Jobcenter Wuppertal GST 4,Wuppertal,,Weidenstraße 25,42117,Wuppertal
Jobcenter Wuppertal GST 6,Wuppertal,,Winklerstraße 1 - 3,42283,Wuppertal
Jobcenter Wuppertal ,Wuppertal,,Schwarzbach 19,42277,Wuppertal
