gE/AAgAw/zkT;AA Bezirk;Organisationseinheit / Empfänger;Anschrift;PLZ;Ort
"Regionaldirektion 
Rheinland-Pfalz-Saarland";;;Eschberger Weg 68;66121;Saarbrücken
Jobcenter Bad Kreuznach;Bad Kreuznach;;Viktoriastr. 36;55543;Bad Kreuznach
Jobcenter Birkenfeld;Bad Kreuznach;;Hauptstraße 86;55743;Idar Oberstein
Jobcenter Rhein-Hunsrück;Bad Kreuznach;;Gemündenerstr. 8a;55469;Simmern
Jobcenter Donnersbergkreis;Kaiserslautern;;Mannheimer Str. 88;67292;Kirchheimbolanden
Jobcenter Landkreis Kaiserslautern;Kaiserslautern;;Augustastr. 6;67655;Kaiserslautern
Jobcenter Stadt Kaiserslautern;Kaiserslautern;;Guimaraes-Platz 3;67655;Kaiserslautern
Jobcenter  Kusel;Kaiserslautern;;Fritz Wunderlich Str. 53;66869;Kusel
Jobcenter  Cochem-Zell;Koblenz;;Briederweg 14;56812;Cochem
Jobcenter Stadt Koblenz;Koblenz;;Am Berg 1;56070;Koblenz
Jobcenter Landkreis Germersheim;Landau;;Waldstraße 13;76726;Germersheim
Jobcenter Landau-Südliche Weinstraße;;;Johannes-Kopp-Str 2;76829;Landau
Jobcenter Deutsche Weinstraße ;Ludwigshafen;;Friedrich-Ebert-Str. 17;67433;Neustadt a. d. Weinstraße
Jobcenter Vorderpfalz-Ludwigshafen;Ludwigshafen;;Kaiser-Wilhelm-Str. 52;67059;Ludwigshafen
Jobcenter Alzey-Worms;Mainz;;Galgenwiesenweg 23;55232;Alzey
Jobcenter Mainz ;Mainz;;Am Rodelberg 21;55131;Mainz
Jobcenter Mainz-Bingen;Mainz;;Konrad-Adenauer-Str. 30 A;55218;Ingelheim
Jobcenter für Arbeitsmarktintegration Worms;Mainz;;Schönauer Str. 2;67547;Worms
Jobcenter Landkreis Ahrweiler;Mayen;;Rathausstraße 1;53474;Bad Neuenahr-Ahrweiler
Jobcenter Landkreis Mayen-Koblenz;Mayen;;Marktplatz 24;56727;Mayen
Jobcenter Rhein-Lahn/ Bad Ems;Montabaur;;Wilhelmsallee  7;56130;Bad Ems
Jobcenter Westerwald;Montabaur;;Bahnallee 17;56410;Montabaur (bis vorausichtl. 31.10.2005
Jobcenter Neunkirchen;Neunkirchen;;Falkenstr. 24;66538;Neunkirchen
Jobcenter im Saarpfalz-Kreis;Neunkirchen;;Gerberstr. 29;66424;Homburg
Jobcenter Grundsicherung für Arbeitsuchende Kreis Altenkirchen;Neuwied;;Siegstraße 29;57518;Betzdorf
Jobcenter Neuwied;Neuwied;;Heddesdorfer Str. 35;56564;Neuwied
Jobcenter Pirmasens;Pirmasens;;Schachenstr. 70;66954;Pirmasens
Jobcenter Zweibrücken;Pirmasens;;Landauerstr. 67;66482;Zweibrücken
Jobcenter im Regionalverband Saarbrücken;Saarbrücken;;Hafenstr. 18;66111;Saarbrücken
Jobcenter Merzig-Wadern;Saarlouis;;Torstr. 28;66663;Merzig
Jobcenter Saarlouis;Saarlouis;;Bahnhofsallee 4f;66740;Saarlouis
Jobcenter  Bernkastel-Wittlich;Trier;;Friedrichstr. 22;54516;Wittlich
Jobcenter Bitburg-Prüm;Trier;;Trierer Str. 5;64634;Bitburg
Jobcenter Trier;Trier;;Dasbachstr. 9;54292;Trier
Jobcenter Trier-Saarburg;Trier;;Dasbachstr. 9;54292;Trier
