"ARGE/AAgAw/Optionskommune",AA Bezirk,"Organisations-einheit / Empfänger",Anschrift,PLZ,Ort
Reionaldirektion Sachsen,,,Paracelsusstr. 13 - Lager -,9114,Chemnitz
Jobcenter Erzgebirgskreis,Annaberg-Buchholz,,Wettiner Str. 61,8280,Aue
Jobcenter Landkreis Görlitz ,Bautzen,,Robert-Koch-Str.1,2926,Niesky
Jobcenter Niederschlesische-Oberlausitz - Gemeinschaft für Arbeit,Bautzen,,Straße der Einheit 2,2943,Weißwasser
Jobcenter NOL Niesky,Bautzen,,Bautzener Str. 34,2906,Niesky
Jobcenter Chemnitz ,Chemnitz,,Elsasser Str. 10,9120,Chemnitz
Jobcenter Freiberg-Mittweida,Chemnitz,,Am Landratsamt 3,9648,Mittweida
Jobcenter Dresden,Dresden,,Budapester Str. 30,1069,Dresden
Jobcenter Delitzsch,Leipzig,,Am Schäfergraben 5-7,4509,Delitzsch
Jobcenter Leipzig ,Leipzig,,Georg-Schumann-Str. 150,4159,Leipzig
Jobcenter Meißen,Riesa,,Loosestr.15 -19,1662,Meißen
Jobcenter,Oschatz,,Burgstr. 34,4720,Döbeln
Kommunales Jobcenter Landkreis Leipzig,Oschatz,,Südstr. 80 Haus 62,4668,Grimma
Jobcenter Nordsachsen,Oschatz,,Oststr. 3,4758,Oschatz
Jobcenter Sächsische Schweiz-Osterzgebirge,Pirna,,Johann-Georg-Palitzsch-Hof Haus 2,1705,Freital
Jobcenter Stadt Plauen,Plauen,,Neundorfer Str. 70-72,8523,Plauen
Jobcenter Agentur für Arbeit - Vogtlandkreis,Plauen,,Neundorfer Str. 70-72,8523,Plauen
Jobcenter Zwickau,Zwickau,,Werdauer Str. 62/Haus 5,8056,Zwickau
